# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.641643395 0.754943376 -0.100019808 0.091379931 -8.300904955 0.712798913 28.379526878 1 DJI_20260822181715_0714_D.JPG

2 0.522618562 0.453485259 -0.467437958 0.550202430 13.408571109 6.788768259 23.711657847 2 DJI_20260822181717_0715_D.JPG

3 0.487779236 0.485928357 -0.506549785 0.518991680 14.759555148 3.482323232 24.579006047 3 DJI_20260822181720_0716_D.JPG

4 0.657456023 0.751412977 0.043330712 -0.035391607 -2.385186024 0.931300029 30.279573210 4 DJI_20260822181723_0717_D.JPG

5 0.657292477 0.753119324 0.022262745 -0.016800421 -1.618335585 0.905713355 30.026008299 5 DJI_20260822181726_0718_D.JPG

6 0.656608102 0.749263951 -0.062195527 0.060008731 -5.950494869 1.108138755 29.307962598 6 DJI_20260822181729_0719_D.JPG

7 -0.047738527 -0.066178438 0.766080488 -0.637543828 -5.198502947 -2.065551584 27.446500397 7 DJI_20260822181732_0720_D.JPG

8 0.003852875 -0.003664635 0.768591217 -0.639718115 -8.617023594 -1.855545635 26.280369361 8 DJI_20260822181735_0721_D.JPG

9 0.002952847 -0.003928047 0.768822780 -0.639443026 -7.711387338 -1.871531132 26.325564725 9 DJI_20260822181738_0722_D.JPG

10 0.009302528 0.004764851 0.769245873 -0.638867393 -6.392708328 -1.849184442 26.125186987 10 DJI_20260822181741_0723_D.JPG

11 0.003719933 -0.002138162 0.768506624 -0.639827445 -7.213226202 -1.796508216 26.254921975 11 DJI_20260822181744_0724_D.JPG

12 0.008757676 0.004762102 0.768568711 -0.639689583 -6.074479084 -1.773023108 26.145554826 12 DJI_20260822181747_0725_D.JPG

13 0.006209173 0.002257515 0.769352729 -0.638790050 -5.342494776 -1.829509973 26.186966296 13 DJI_20260822181750_0726_D.JPG

14 0.005799674 0.002525725 0.769096485 -0.639101386 -4.644221524 -1.794149958 26.080988372 14 DJI_20260822181753_0727_D.JPG

15 -0.003585394 -0.008613797 0.769173702 -0.638971646 -2.410958791 -1.778097771 26.102610931 15 DJI_20260822181756_0728_D.JPG

16 0.005504172 0.002850025 0.769147389 -0.639041372 -3.830313552 -1.755894156 25.971684335 16 DJI_20260822181759_0729_D.JPG

17 -0.001117453 -0.008137249 0.767613447 -0.640860463 -1.886962114 -1.644536605 26.116066054 17 DJI_20260822181802_0730_D.JPG

18 0.008000617 0.003165541 0.768526990 -0.639759513 -2.011808118 -1.705870994 26.111401653 18 DJI_20260822181805_0731_D.JPG

19 0.001864649 -0.003190853 0.768929903 -0.639322411 -0.900822490 -1.822517741 25.810988415 19 DJI_20260822181808_0732_D.JPG

20 0.001739935 -0.002618563 0.769068873 -0.639158184 0.868993711 -1.730784259 26.028911175 20 DJI_20260822181811_0733_D.JPG

21 0.001799968 -0.002969023 0.769361469 -0.638804254 -0.385207854 -1.724604007 25.873179608 21 DJI_20260822181814_0734_D.JPG

22 0.002762423 -0.002065755 0.769450006 -0.638697730 0.005800104 -1.751491407 26.000375233 22 DJI_20260822181817_0735_D.JPG

23 0.002023472 -0.003304651 0.768642606 -0.639666732 -1.319204879 -1.731053752 26.158845418 23 DJI_20260822181820_0736_D.JPG

24 0.004999033 0.999847214 -0.004617530 -0.016100859 8.921692704 19.878169089 14.902747691 24 DJI_20260822181823_0737_D.JPG

25 0.014733365 0.999769808 -0.014641053 0.005375820 9.352177396 -14.958738844 15.422831092 25 DJI_20260822181826_0738_D.JPG

26 0.013908989 0.999784856 -0.015163759 0.002615697 9.267591442 -12.183400482 15.367158363 26 DJI_20260822181829_0739_D.JPG

27 -0.009056381 0.004505122 0.999915845 0.008123288 -6.741524009 11.188542641 15.184630499 27 DJI_20260822181832_0740_D.JPG

28 0.005030101 0.999948498 -0.004751052 -0.007424755 6.210165319 19.574317435 14.926599809 28 DJI_20260822181835_0741_D.JPG

29 -0.001241047 -0.000039736 0.999980780 0.006074297 -3.747781548 3.728220668 14.955613409 29 DJI_20260822181838_0742_D.JPG

30 -0.009008923 0.000893219 0.999888319 0.011890774 0.057417926 20.479095736 14.966609875 30 DJI_20260822181841_0743_D.JPG

31 -0.009797676 0.000765405 0.999877109 0.012214222 0.237198064 22.585344337 15.021468668 31 DJI_20260822181844_0744_D.JPG

32 -0.001870719 -0.000111975 0.999977773 0.006398598 -3.616427142 5.990565987 14.984045405 32 DJI_20260822181847_0745_D.JPG

33 -0.007971644 0.004686055 0.999927371 0.007729532 -6.681756980 9.327528956 15.201435515 33 DJI_20260822181850_0746_D.JPG

34 0.003613304 0.999950015 -0.004894401 -0.007934472 6.110317004 22.946533740 14.966651205 34 DJI_20260822181853_0747_D.JPG

35 0.003391212 0.999940388 -0.005015808 -0.009086321 6.079569544 24.941840200 15.010145945 35 DJI_20260822181856_0748_D.JPG

36 0.002595850 0.999933995 -0.005297772 -0.009859021 5.738957320 27.409019700 15.031639465 36 DJI_20260822181859_0749_D.JPG

37 0.006515824 0.999941033 -0.006208418 -0.006077055 6.459096352 14.424911581 14.919188689 37 DJI_20260822181902_0750_D.JPG

38 0.005311537 0.999945876 -0.005642948 -0.006941914 6.285101852 16.890890847 14.965432395 38 DJI_20260822181905_0751_D.JPG

39 -0.000632512 0.000255381 0.999986118 0.005224777 -3.652110331 1.938588923 14.989712853 39 DJI_20260822181908_0752_D.JPG

40 -0.008491290 0.000978313 0.999905229 0.010792338 -0.314021805 18.405992887 14.929039280 40 DJI_20260822181911_0753_D.JPG

41 -0.010116278 0.000724339 0.999868778 0.012631820 0.376183788 24.869083608 15.063584719 41 DJI_20260822181914_0754_D.JPG

42 0.015445270 0.999873001 -0.000954966 -0.003809630 -0.245950014 -13.110457221 14.861012958 42 DJI_20260822181917_0755_D.JPG

43 0.013449584 0.999902616 0.000087508 -0.003722953 -0.202638245 -7.584937993 14.825196649 43 DJI_20260822181920_0756_D.JPG

44 0.013071434 0.999908252 0.000884547 -0.003441398 -0.080857723 -6.192838275 14.807301196 44 DJI_20260822181923_0757_D.JPG

45 0.006726083 0.999962584 -0.001839703 -0.005119187 -5.248533072 9.281501628 14.809809080 45 DJI_20260822181926_0758_D.JPG

46 0.013972778 0.999889560 0.003095768 -0.004005581 -0.077014413 -8.839010522 14.800092709 46 DJI_20260822181929_0759_D.JPG

47 0.014383758 0.999883277 0.003343429 -0.003919352 -0.336599536 -10.245947572 14.781481575 47 DJI_20260822181933_0760_D.JPG

48 -0.010679389 0.000580131 0.999833969 0.014752891 0.441902351 30.658377856 15.141660971 48 DJI_20260822181935_0761_D.JPG

49 -0.010480505 0.000791425 0.999855421 0.013366718 0.328766047 27.514230389 15.161266990 49 DJI_20260822181938_0762_D.JPG

50 -0.002633812 -0.000543632 0.999968003 0.007534011 -3.206237845 11.260589459 15.008127418 50 DJI_20260822181941_0763_D.JPG

51 -0.002051658 0.000041221 0.999973193 0.007028675 -3.194276137 8.545099097 14.966021481 51 DJI_20260822181944_0764_D.JPG

52 0.007885348 0.009889569 0.999913348 -0.003648944 -9.274783080 -27.128379519 15.164167411 52 DJI_20260822181947_0765_D.JPG

53 0.007189182 0.009334239 0.999926248 -0.002947352 -9.095955404 -25.562231248 15.168838770 53 DJI_20260822181950_0766_D.JPG

