# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.015142990 0.712208539 0.701724140 -0.010626295 2.356566177 -20.845462726 15.116244361 1 DJI_20260816173126_0001_D.JPG

2 0.015705919 0.714846692 0.699027452 -0.010399618 2.236635267 -18.361087403 14.961646371 2 DJI_20260816173129_0002_D.JPG

3 0.502270912 0.501310582 -0.496308273 0.500089721 0.483669046 2.661101481 21.846114456 3 DJI_20260816173132_0003_D.JPG

4 0.499617152 0.498205293 -0.499267712 0.502897544 2.657265358 2.671860449 21.871426100 4 DJI_20260816173135_0004_D.JPG

5 0.499004759 0.498778126 -0.499125643 0.503078745 4.007451483 2.661163007 21.854735584 5 DJI_20260816173138_0005_D.JPG

6 0.005145354 0.716819215 0.697240068 0.000163532 -9.200997450 14.195266338 15.339464594 6 DJI_20260816173141_0006_D.JPG

7 0.005166751 0.716908055 0.697148532 0.000263999 -9.017504172 11.158820656 15.410894172 7 DJI_20260816173144_0007_D.JPG

8 0.005318651 0.716714539 0.697346180 0.000534496 -9.231311780 17.098626960 15.408771924 8 DJI_20260816173147_0008_D.JPG

9 0.003571064 0.718116560 0.695913546 -0.000437429 -10.375524243 2.053750478 15.445318971 9 DJI_20260816173150_0009_D.JPG

10 0.003595097 0.718437607 0.695582089 -0.000194600 -10.224396313 -0.396490187 15.449011336 10 DJI_20260816173153_0010_D.JPG

11 0.004055215 0.717943921 0.696089126 -0.000100201 -10.314296340 2.927415384 15.383274077 11 DJI_20260816173156_0011_D.JPG

12 0.005564317 0.717434153 0.696603525 0.000896375 -8.962777626 8.600270155 15.331082433 12 DJI_20260816173159_0012_D.JPG

13 0.003984768 0.718020308 0.696010591 -0.000465277 -10.213795589 3.443385512 15.385712910 13 DJI_20260816173202_0013_D.JPG

14 0.499237637 0.499170756 -0.498615687 0.502963950 5.069146501 2.664541317 21.744586402 14 DJI_20260816173217_0014_D.JPG

15 0.499706023 0.499453288 -0.497880190 0.502946936 6.495364478 2.684502479 21.647318886 15 DJI_20260816173220_0015_D.JPG

16 0.013923383 0.714637600 0.699287621 -0.009801225 2.276993366 -8.110842203 14.640702289 16 DJI_20260816173223_0016_D.JPG

17 0.014159306 0.714837460 0.699076536 -0.009945708 2.304561808 -9.493981745 14.661828655 17 DJI_20260816173226_0017_D.JPG

18 0.015233140 0.715330093 0.698547355 -0.010119366 2.282819471 -15.459613071 14.851040947 18 DJI_20260816173229_0018_D.JPG

19 0.014878391 0.715027559 0.698873325 -0.009502555 2.328770302 -13.041161795 14.781061172 19 DJI_20260816173232_0019_D.JPG

20 0.014490595 0.714980945 0.698927652 -0.009612960 2.302649855 -11.126339489 14.742174420 20 DJI_20260816173235_0020_D.JPG

21 0.013653989 0.714090188 0.699850414 -0.009908091 2.316164522 -5.121714356 14.515734415 21 DJI_20260816173238_0021_D.JPG

22 0.013770812 0.713646836 0.700298855 -0.010003658 2.291694930 -4.102497126 14.511592074 22 DJI_20260816173241_0022_D.JPG

